run,NrBeeSurvivors,FighterCollectorRatio,NrMurderContracts,BeeCap100Ratio,BeePerformance,flower_count,bee_count,bee_sight,buzzer_count,max_capacity,hive_count,comm_radius,RatioBeeBuzzer
151,2,1,1,0.779220779,38.96103896,10,4,8,4,30,1,10,1
153,2,1,2,0.779220779,38.96103896,10,4,8,4,30,1,16,1
155,0,1,0,0.779220779,0,10,4,8,6,30,1,1,0.666666667
157,0,1,1,0.779220779,0,10,4,8,6,30,1,7,0.666666667
159,0,1,1,0.779220779,0,10,4,8,6,30,1,13,0.666666667
161,1,1,3,0.779220779,19.48051948,10,4,8,6,30,1,19,0.666666667
163,1,1,0,0.779220779,19.48051948,10,4,8,8,30,1,4,0.5
165,2,1,1,0.779220779,38.96103896,10,4,8,8,30,1,10,0.5
167,0,1,1,0.779220779,0,10,4,8,8,30,1,16,0.5
169,0,1,0,0.779220779,0,10,4,8,10,30,1,1,0.4
171,0,1,1,0.779220779,0,10,4,8,10,30,1,7,0.4
173,0,1,1,0.779220779,0,10,4,8,10,30,1,13,0.4
175,0,1,3,0.779220779,0,10,4,8,10,30,1,19,0.4
177,0,1,0,0.779220779,0,10,4,8,12,30,1,4,0.333333333
179,0,1,1,0.779220779,0,10,4,8,12,30,1,10,0.333333333
181,0,1,0,0.779220779,0,10,4,8,12,30,1,16,0.333333333
183,0,1,0,0.779220779,0,10,4,8,14,30,1,1,0.285714286
185,0,1,0,0.779220779,0,10,4,8,14,30,1,7,0.285714286
187,0,1,1,0.779220779,0,10,4,8,14,30,1,13,0.285714286
189,1,1,0,0.779220779,19.48051948,10,4,8,14,30,1,19,0.285714286
191,0,1,0,0.779220779,0,10,4,8,16,30,1,4,0.25
193,0,1,1,0.779220779,0,10,4,8,16,30,1,10,0.25
195,0,1,1,0.779220779,0,10,4,8,16,30,1,16,0.25
197,0,1,0,0.779220779,0,10,4,8,18,30,1,1,0.222222222
199,0,1,0,0.779220779,0,10,4,8,18,30,1,7,0.222222222
201,0,1,0,0.779220779,0,10,4,8,18,30,1,13,0.222222222
203,0,1,0,0.779220779,0,10,4,8,18,30,1,19,0.222222222
205,0,1,0,0.779220779,0,10,4,8,20,30,1,4,0.2
207,0,1,0,0.779220779,0,10,4,8,20,30,1,10,0.2
209,0,1,0,0.779220779,0,10,4,8,20,30,1,16,0.2
211,2,1,0,0.779220779,38.96103896,10,4,10,2,30,1,1,2
213,4,1,0,0.779220779,77.92207792,10,4,10,2,30,1,7,2
215,2,1,1,0.779220779,38.96103896,10,4,10,2,30,1,13,2
217,4,1,1,0.779220779,77.92207792,10,4,10,2,30,1,19,2
219,2,1,0,0.779220779,38.96103896,10,4,10,4,30,1,4,1
221,0,1,0,0.779220779,0,10,4,10,4,30,1,10,1
223,3,1,0,0.779220779,58.44155844,10,4,10,4,30,1,16,1
225,0,1,0,0.779220779,0,10,4,10,6,30,1,1,0.666666667
227,0,1,1,0.779220779,0,10,4,10,6,30,1,7,0.666666667
229,0,1,1,0.779220779,0,10,4,10,6,30,1,13,0.666666667
231,1,1,2,0.779220779,19.48051948,10,4,10,6,30,1,19,0.666666667
233,0,1,1,0.779220779,0,10,4,10,8,30,1,4,0.5
235,1,1,1,0.779220779,19.48051948,10,4,10,8,30,1,10,0.5
237,0,1,2,0.779220779,0,10,4,10,8,30,1,16,0.5
239,0,1,0,0.779220779,0,10,4,10,10,30,1,1,0.4
241,1,1,1,0.779220779,19.48051948,10,4,10,10,30,1,7,0.4
243,0,1,2,0.779220779,0,10,4,10,10,30,1,13,0.4
245,0,1,2,0.779220779,0,10,4,10,10,30,1,19,0.4
247,1,1,0,0.779220779,19.48051948,10,4,10,12,30,1,4,0.333333333
249,0,1,1,0.779220779,0,10,4,10,12,30,1,10,0.333333333
251,1,1,2,0.779220779,19.48051948,10,4,10,12,30,1,16,0.333333333
253,0,1,0,0.779220779,0,10,4,10,14,30,1,1,0.285714286
255,0,1,1,0.779220779,0,10,4,10,14,30,1,7,0.285714286
257,1,1,0,0.779220779,19.48051948,10,4,10,14,30,1,13,0.285714286
259,0,1,1,0.779220779,0,10,4,10,14,30,1,19,0.285714286
261,0,1,0,0.779220779,0,10,4,10,16,30,1,4,0.25
263,0,1,0,0.779220779,0,10,4,10,16,30,1,10,0.25
265,0,1,2,0.779220779,0,10,4,10,16,30,1,16,0.25
267,0,1,0,0.779220779,0,10,4,10,18,30,1,1,0.222222222
269,0,1,0,0.779220779,0,10,4,10,18,30,1,7,0.222222222
271,0,1,1,0.779220779,0,10,4,10,18,30,1,13,0.222222222
273,0,1,1,0.779220779,0,10,4,10,18,30,1,19,0.222222222
275,1,1,0,0.779220779,19.48051948,10,4,10,20,30,1,4,0.2
277,0,1,0,0.779220779,0,10,4,10,20,30,1,10,0.2
279,0,1,0,0.779220779,0,10,4,10,20,30,1,16,0.2
281,1,1,1,0.779220779,19.48051948,10,4,12,2,30,1,1,2
283,1,1,1,0.779220779,19.48051948,10,4,12,2,30,1,7,2
285,3,1,2,0.779220779,58.44155844,10,4,12,2,30,1,13,2
287,1,1,1,0.779220779,19.48051948,10,4,12,2,30,1,19,2
289,0,1,1,0.779220779,0,10,4,12,4,30,1,4,1
291,4,1,1,0.779220779,77.92207792,10,4,12,4,30,1,10,1
293,1,1,1,0.779220779,19.48051948,10,4,12,4,30,1,16,1
295,0,1,0,0.779220779,0,10,4,12,6,30,1,1,0.666666667
297,2,1,1,0.779220779,38.96103896,10,4,12,6,30,1,7,0.666666667
299,2,1,1,0.779220779,38.96103896,10,4,12,6,30,1,13,0.666666667
301,0,1,2,0.779220779,0,10,4,12,6,30,1,19,0.666666667
